slip_ratio,pacejka_fx_over_fz,linear_fx_over_fz,linear_error
2.360000000000000119e-03,8.179787235381542898e-02,7.762482247642626954e-02,-4.173049877389159446e-03
2.370000000000000145e-03,8.214308259515719357e-02,7.795374121573316051e-02,-4.189341379424033063e-03
2.380000000000000171e-03,8.248827525816750106e-02,7.828265995504005148e-02,-4.205615303127449578e-03
2.390000000000000197e-03,8.283345027005054040e-02,7.861157869434694245e-02,-4.221871575703597945e-03
2.400000000000000223e-03,8.317860755802779227e-02,7.894049743365383343e-02,-4.238110124373958842e-03
2.410000000000000250e-03,8.352374704933795968e-02,7.926941617296072440e-02,-4.254330876377235282e-03
2.420000000000000276e-03,8.386886867123714839e-02,7.959833491226761537e-02,-4.270533758969533022e-03
2.430000000000000302e-03,8.421397235099883916e-02,7.992725365157450634e-02,-4.286718699424332812e-03
2.440000000000000328e-03,8.455905801591404036e-02,8.025617239088139732e-02,-4.302885625032643047e-03
2.450000000000000355e-03,8.490412559329128805e-02,8.058509113018828829e-02,-4.319034463102999766e-03
2.460000000000000381e-03,8.524917501045684021e-02,8.091400986949517926e-02,-4.335165140961660946e-03
2.470000000000000407e-03,8.559420619475449632e-02,8.124292860880207023e-02,-4.351277585952426086e-03
2.480000000000000000e-03,8.593921907354595824e-02,8.157184734810894733e-02,-4.367371725437010910e-03
2.490000000000000026e-03,8.628421357421073301e-02,8.190076608741585218e-02,-4.383447486794880832e-03
2.500000000000000052e-03,8.662918962414623003e-02,8.222968482672274315e-02,-4.399504797423486879e-03
2.510000000000000078e-03,8.697414715076778879e-02,8.255860356602963412e-02,-4.415543584738154670e-03
2.520000000000000104e-03,8.731908608150887319e-02,8.288752230533652510e-02,-4.431563776172348090e-03
2.530000000000000131e-03,8.766400634382098822e-02,8.321644104464341607e-02,-4.447565299177572151e-03
2.540000000000000157e-03,8.800890786517386044e-02,8.354535978395030704e-02,-4.463548081223553399e-03
2.550000000000000183e-03,8.835379057305545181e-02,8.387427852325719801e-02,-4.479512049798253792e-03
2.560000000000000209e-03,8.869865439497208459e-02,8.420319726256408899e-02,-4.495457132407995604e-03
2.570000000000000236e-03,8.904349925844838587e-02,8.453211600187097996e-02,-4.511383256577405909e-03
2.580000000000000262e-03,8.938832509102756507e-02,8.486103474117787093e-02,-4.527290349849694140e-03
2.590000000000000288e-03,8.973313182027117807e-02,8.518995348048476191e-02,-4.543178339786416164e-03
2.600000000000000314e-03,9.007791937375954350e-02,8.551887221979165288e-02,-4.559047153967890620e-03
2.610000000000000341e-03,9.042268767909157623e-02,8.584779095909854385e-02,-4.574896719993032379e-03
2.620000000000000367e-03,9.076743666388492615e-02,8.617670969840543482e-02,-4.590726965479491328e-03
2.630000000000000393e-03,9.111216625577599204e-02,8.650562843771232580e-02,-4.606537818063666245e-03
2.640000000000000419e-03,9.145687638242015749e-02,8.683454717701921677e-02,-4.622329205400940721e-03
2.650000000000000012e-03,9.180156697149162437e-02,8.716346591632609386e-02,-4.638101055165530506e-03
2.660000000000000038e-03,9.214623795068366263e-02,8.749238465563298484e-02,-4.653853295050677796e-03
2.670000000000000064e-03,9.249088924770858255e-02,8.782130339493988969e-02,-4.669585852768692869e-03
2.680000000000000090e-03,9.283552079029792903e-02,8.815022213424678066e-02,-4.685298656051148369e-03
2.690000000000000117e-03,9.318013250620230115e-02,8.847914087355367163e-02,-4.700991632648629515e-03
2.700000000000000143e-03,9.352472432319164364e-02,8.880805961286056260e-02,-4.716664710331081034e-03
2.710000000000000169e-03,9.386929616905533014e-02,8.913697835216745358e-02,-4.732317816887876560e-03
2.720000000000000195e-03,9.421384797160203828e-02,8.946589709147434455e-02,-4.747950880127693729e-03
2.730000000000000222e-03,9.455837965865991623e-02,8.979481583078123552e-02,-4.763563827878680712e-03
2.740000000000000248e-03,9.490289115807681863e-02,9.012373457008812649e-02,-4.779156587988692140e-03
2.750000000000000274e-03,9.524738239772002901e-02,9.045265330939501747e-02,-4.794729088325011546e-03
2.760000000000000300e-03,9.559185330547662063e-02,9.078157204870190844e-02,-4.810281256774712189e-03
2.770000000000000327e-03,9.593630380925338708e-02,9.111049078800879941e-02,-4.825813021244587664e-03
2.780000000000000353e-03,9.628073383697695331e-02,9.143940952731569038e-02,-4.841324309661262926e-03
2.790000000000000379e-03,9.662514331659384503e-02,9.176832826662258136e-02,-4.856815049971263676e-03
2.800000000000000405e-03,9.696953217607054420e-02,9.209724700592947233e-02,-4.872285170141071875e-03
2.810000000000000431e-03,9.731390034339348905e-02,9.242616574523636330e-02,-4.887734598157125743e-03
